[ 2013-01-21T20:06:23+08:00 ] /thinkmao/Admin.php/Goods/good_type | ERR: (ThinkException) 无法加载模块Goods
[ 2013-01-21T20:06:23+08:00 ] /thinkmao/Admin.php/Goods/good_type | ERR: (ThinkException) 无法加载模块Goods
[ 2013-01-21T20:06:24+08:00 ] /thinkmao/Admin.php/Goods/good_type | ERR: (ThinkException) 无法加载模块Goods
[ 2013-01-21T20:06:24+08:00 ] /thinkmao/Admin.php/Goods/good_type | ERR: (ThinkException) 无法加载模块Goods
[ 2013-01-21T20:06:24+08:00 ] /thinkmao/Admin.php/Goods/good_type | ERR: (ThinkException) 无法加载模块Goods
[ 2013-01-21T20:06:24+08:00 ] /thinkmao/Admin.php/Goods/good_type | ERR: (ThinkException) 无法加载模块Goods
[ 2013-01-21T20:06:24+08:00 ] /thinkmao/Admin.php/Goods/good_type | ERR: (ThinkException) 无法加载模块Goods
[ 2013-01-21T20:06:25+08:00 ] /thinkmao/Admin.php/Goods/good_type | ERR: (ThinkException) 无法加载模块Goods
[ 2013-01-21T20:06:25+08:00 ] /thinkmao/Admin.php/Goods/good_type | ERR: (ThinkException) 无法加载模块Goods
[ 2013-01-21T20:06:25+08:00 ] /thinkmao/Admin.php/Goods/good_type | ERR: (ThinkException) 无法加载模块Goods
[ 2013-01-21T20:06:26+08:00 ] /thinkmao/Admin.php/Goods/good_type | ERR: (ThinkException) 无法加载模块Goods
[ 2013-01-21T20:06:26+08:00 ] /thinkmao/Admin.php/Goods/good_type | ERR: (ThinkException) 无法加载模块Goods
[ 2013-01-21T20:06:26+08:00 ] /thinkmao/Admin.php/Goods/good_type | ERR: (ThinkException) 无法加载模块Goods
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ route_check ] --START--
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run CheckRoute Behavior [ RunTime:0.000160s ]
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ route_check ] --END-- [ RunTime:0.000379s ]
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ app_begin ] --START--
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000150s ]
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000229s ]
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_template ] --START--
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run LocationTemplate Behavior [ RunTime:0.000108s ]
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_template ] --END-- [ RunTime:0.000210s ]
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_parse ] --START--
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run ParseTemplate Behavior [ RunTime:0.002945s ]
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_parse ] --END-- [ RunTime:0.003057s ]
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_filter ] --START--
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run ContentReplace Behavior [ RunTime:0.000210s ]
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run TokenBuild Behavior [ RunTime:0.000155s ]
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000081s ]
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run ShowRuntime Behavior [ RunTime:0.000182s ]
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000859s ]
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_end ] --START--
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run ShowPageTrace Behavior [ RunTime:0.002006s ]
[ 2013-01-21T20:07:13+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_end ] --END-- [ RunTime:0.002084s ]
