[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ route_check ] --START--
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run CheckRoute Behavior [ RunTime:0.001002s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001143s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ app_begin ] --START--
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000689s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000788s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.014910s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SELECT * FROM `hd_goods` WHERE ( `id` = '10' )  [ RunTime:0.000474s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SHOW COLUMNS FROM `hd_goods_attr` [ RunTime:0.014753s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SELECT `aid` FROM `hd_goods_attr` WHERE ( `gid` = '10' ) GROUP BY aid  [ RunTime:0.000928s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SELECT * FROM `hd_goods_attr` WHERE ( `gid` = '10' )  [ RunTime:0.000552s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.009563s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SELECT * FROM `hd_type_attr`  [ RunTime:0.000801s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SHOW COLUMNS FROM `hd_goods_list` [ RunTime:0.027570s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SELECT * FROM `hd_goods_list` WHERE gid = 10  [ RunTime:0.000376s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_template ] --START--
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run LocationTemplate Behavior [ RunTime:0.000790s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000896s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_parse ] --START--
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | NOTIC: [8] Use of undefined constant series - assumed 'series' a94f0e6cd701ac01abf0916ee6c05891.php 第 51 行.
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | NOTIC: [8] Use of undefined constant series - assumed 'series' a94f0e6cd701ac01abf0916ee6c05891.php 第 51 行.
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | NOTIC: [8] Use of undefined constant series - assumed 'series' a94f0e6cd701ac01abf0916ee6c05891.php 第 51 行.
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | NOTIC: [8] Use of undefined constant series - assumed 'series' a94f0e6cd701ac01abf0916ee6c05891.php 第 51 行.
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run ParseTemplate Behavior [ RunTime:0.032008s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.032127s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_filter ] --START--
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run ContentReplace Behavior [ RunTime:0.000780s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run TokenBuild Behavior [ RunTime:0.000485s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000334s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run ShowRuntime Behavior [ RunTime:0.000680s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002524s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_end ] --START--
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000551s ]
[ 2013-02-27T21:07:18+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000650s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ route_check ] --START--
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run CheckRoute Behavior [ RunTime:0.001278s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001413s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ app_begin ] --START--
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000927s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001034s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.014355s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SELECT * FROM `hd_goods` WHERE ( `id` = '10' )  [ RunTime:0.000566s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SHOW COLUMNS FROM `hd_goods_attr` [ RunTime:0.014743s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SELECT `aid` FROM `hd_goods_attr` WHERE ( `gid` = '10' ) GROUP BY aid  [ RunTime:0.000891s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SELECT * FROM `hd_goods_attr` WHERE ( `gid` = '10' )  [ RunTime:0.000715s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.010557s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SELECT * FROM `hd_type_attr`  [ RunTime:0.000761s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SHOW COLUMNS FROM `hd_goods_list` [ RunTime:0.026556s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SELECT * FROM `hd_goods_list` WHERE gid = 10  [ RunTime:0.000496s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_template ] --START--
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run LocationTemplate Behavior [ RunTime:0.000960s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001066s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_parse ] --START--
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | NOTIC: [8] Use of undefined constant series - assumed 'series' a94f0e6cd701ac01abf0916ee6c05891.php 第 51 行.
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | NOTIC: [8] Use of undefined constant series - assumed 'series' a94f0e6cd701ac01abf0916ee6c05891.php 第 51 行.
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | NOTIC: [8] Use of undefined constant series - assumed 'series' a94f0e6cd701ac01abf0916ee6c05891.php 第 51 行.
