[ 2013-02-28T14:49:21+08:00 ] /thinkmao/Admin.php/Goods/cate | INFO: Tag[ route_check ] --START--
[ 2013-02-28T14:49:21+08:00 ] /thinkmao/Admin.php/Goods/cate | INFO: Run CheckRoute Behavior [ RunTime:0.001588s ]
[ 2013-02-28T14:49:21+08:00 ] /thinkmao/Admin.php/Goods/cate | INFO: Tag[ route_check ] --END-- [ RunTime:0.001761s ]
[ 2013-02-28T14:49:21+08:00 ] /thinkmao/Admin.php/Goods/cate | INFO: Tag[ app_begin ] --START--
[ 2013-02-28T14:49:21+08:00 ] /thinkmao/Admin.php/Goods/cate | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001123s ]
[ 2013-02-28T14:49:21+08:00 ] /thinkmao/Admin.php/Goods/cate | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001427s ]
[ 2013-02-28T14:49:22+08:00 ] /thinkmao/Admin.php/Goods/cate | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.658239s ]
[ 2013-02-28T14:49:22+08:00 ] /thinkmao/Admin.php/Goods/cate | SQL: SELECT * FROM `hd_category`  [ RunTime:0.000747s ]
[ 2013-02-28T14:49:22+08:00 ] /thinkmao/Admin.php/Goods/cate | INFO: Tag[ view_template ] --START--
[ 2013-02-28T14:49:22+08:00 ] /thinkmao/Admin.php/Goods/cate | INFO: Run LocationTemplate Behavior [ RunTime:0.001518s ]
[ 2013-02-28T14:49:22+08:00 ] /thinkmao/Admin.php/Goods/cate | INFO: Tag[ view_template ] --END-- [ RunTime:0.001665s ]
[ 2013-02-28T14:49:22+08:00 ] /thinkmao/Admin.php/Goods/cate | INFO: Tag[ view_parse ] --START--
[ 2013-02-28T14:49:22+08:00 ] /thinkmao/Admin.php/Goods/cate | NOTIC: [8] Undefined index: end adaa781d3767bdb8ae6ed63778f0cae9.php 第 31 行.
[ 2013-02-28T14:49:22+08:00 ] /thinkmao/Admin.php/Goods/cate | NOTIC: [8] Undefined index: end adaa781d3767bdb8ae6ed63778f0cae9.php 第 31 行.
[ 2013-02-28T14:49:22+08:00 ] /thinkmao/Admin.php/Goods/cate | NOTIC: [8] Undefined index: end adaa781d3767bdb8ae6ed63778f0cae9.php 第 31 行.
[ 2013-02-28T14:49:22+08:00 ] /thinkmao/Admin.php/Goods/cate | NOTIC: [8] Undefined index: end adaa781d3767bdb8ae6ed63778f0cae9.php 第 31 行.
[ 2013-02-28T14:49:22+08:00 ] /thinkmao/Admin.php/Goods/cate | NOTIC: [8] Undefined index: end adaa781d3767bdb8ae6ed63778f0cae9.php 第 31 行.
[ 2013-02-28T14:49:22+08:00 ] /thinkmao/Admin.php/Goods/cate | NOTIC: [8] Undefined index: end adaa781d3767bdb8ae6ed63778f0cae9.php 第 31 行.
[ 2013-02-28T14:49:22+08:00 ] /thinkmao/Admin.php/Goods/cate | NOTIC: [8] Undefined index: end adaa781d3767bdb8ae6ed63778f0cae9.php 第 31 行.
