[ 2013-01-28T17:12:57+08:00 ] /thinkmao/Index.php/Good?gid=11 | INFO: Tag[ route_check ] --START--
[ 2013-01-28T17:12:57+08:00 ] /thinkmao/Index.php/Good?gid=11 | INFO: Run CheckRoute Behavior [ RunTime:0.000067s ]
[ 2013-01-28T17:12:57+08:00 ] /thinkmao/Index.php/Good?gid=11 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000174s ]
[ 2013-01-28T17:12:57+08:00 ] /thinkmao/Index.php/Good?gid=11 | INFO: Tag[ app_begin ] --START--
[ 2013-01-28T17:12:57+08:00 ] /thinkmao/Index.php/Good?gid=11 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000057s ]
[ 2013-01-28T17:12:57+08:00 ] /thinkmao/Index.php/Good?gid=11 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000106s ]
[ 2013-01-28T17:12:57+08:00 ] /thinkmao/Index.php/Good?gid=11 | INFO: Tag[ view_template ] --START--
[ 2013-01-28T17:12:57+08:00 ] /thinkmao/Index.php/Good?gid=11 | INFO: Run LocationTemplate Behavior [ RunTime:0.000054s ]
[ 2013-01-28T17:12:57+08:00 ] /thinkmao/Index.php/Good?gid=11 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000084s ]
[ 2013-01-28T17:12:57+08:00 ] /thinkmao/Index.php/Good?gid=11 | INFO: Tag[ view_parse ] --START--
[ 2013-01-28T17:12:57+08:00 ] /thinkmao/Index.php/Good?gid=11 | INFO: Run ParseTemplate Behavior [ RunTime:0.002414s ]
[ 2013-01-28T17:12:57+08:00 ] /thinkmao/Index.php/Good?gid=11 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.002471s ]
[ 2013-01-28T17:12:57+08:00 ] /thinkmao/Index.php/Good?gid=11 | INFO: Tag[ view_filter ] --START--
[ 2013-01-28T17:12:57+08:00 ] /thinkmao/Index.php/Good?gid=11 | INFO: Run ContentReplace Behavior [ RunTime:0.000089s ]
[ 2013-01-28T17:12:57+08:00 ] /thinkmao/Index.php/Good?gid=11 | INFO: Run TokenBuild Behavior [ RunTime:0.000074s ]
[ 2013-01-28T17:12:57+08:00 ] /thinkmao/Index.php/Good?gid=11 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000033s ]
