[ 2013-01-29T22:22:01+08:00 ] /thinkmao/Index.php/Index/test | INFO: Tag[ route_check ] --START--
[ 2013-01-29T22:22:01+08:00 ] /thinkmao/Index.php/Index/test | INFO: Run CheckRoute Behavior [ RunTime:0.000066s ]
[ 2013-01-29T22:22:01+08:00 ] /thinkmao/Index.php/Index/test | INFO: Tag[ route_check ] --END-- [ RunTime:0.000176s ]
[ 2013-01-29T22:22:01+08:00 ] /thinkmao/Index.php/Index/test | INFO: Tag[ app_begin ] --START--
[ 2013-01-29T22:22:01+08:00 ] /thinkmao/Index.php/Index/test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000057s ]
[ 2013-01-29T22:22:01+08:00 ] /thinkmao/Index.php/Index/test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000086s ]
[ 2013-01-29T22:22:01+08:00 ] /thinkmao/Index.php/Index/test | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.001006s ]
[ 2013-01-29T22:22:01+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 14 )  [ RunTime:0.000371s ]
[ 2013-01-29T22:22:01+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '19' )  [ RunTime:0.000245s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '18' )  [ RunTime:0.000232s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '17' )  [ RunTime:0.000227s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '16' )  [ RunTime:0.000229s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '15' )  [ RunTime:0.004187s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '54' )  [ RunTime:0.000445s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '51' )  [ RunTime:0.000095s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '59' )  [ RunTime:0.000085s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '55' )  [ RunTime:0.000095s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '34' )  [ RunTime:0.000086s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '35' )  [ RunTime:0.000077s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '36' )  [ RunTime:0.000082s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '37' )  [ RunTime:0.000084s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '38' )  [ RunTime:0.000082s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '39' )  [ RunTime:0.000081s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '42' )  [ RunTime:0.000092s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '43' )  [ RunTime:0.000092s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '44' )  [ RunTime:0.000070s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '45' )  [ RunTime:0.000077s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '46' )  [ RunTime:0.000082s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '47' )  [ RunTime:0.000081s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '49' )  [ RunTime:0.000082s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '50' )  [ RunTime:0.000081s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '52' )  [ RunTime:0.000083s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '56' )  [ RunTime:0.002554s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '40' )  [ RunTime:0.000236s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '41' )  [ RunTime:0.000087s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '60' )  [ RunTime:0.000094s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '61' )  [ RunTime:0.000083s ]
