[ 2013-01-30T21:29:36+08:00 ] /thinkmao/Index.php/List/get_middle | INFO: Tag[ route_check ] --START--
[ 2013-01-30T21:29:36+08:00 ] /thinkmao/Index.php/List/get_middle | INFO: Run CheckRoute Behavior [ RunTime:0.000068s ]
[ 2013-01-30T21:29:36+08:00 ] /thinkmao/Index.php/List/get_middle | INFO: Tag[ route_check ] --END-- [ RunTime:0.000182s ]
[ 2013-01-30T21:29:36+08:00 ] /thinkmao/Index.php/List/get_middle | INFO: Tag[ app_begin ] --START--
[ 2013-01-30T21:29:36+08:00 ] /thinkmao/Index.php/List/get_middle | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000056s ]
[ 2013-01-30T21:29:36+08:00 ] /thinkmao/Index.php/List/get_middle | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000084s ]
[ 2013-01-30T21:29:36+08:00 ] /thinkmao/Index.php/List/get_middle | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.000712s ]
[ 2013-01-30T21:29:36+08:00 ] /thinkmao/Index.php/List/get_middle | SQL: SHOW COLUMNS FROM `hd_goods_attr` [ RunTime:0.000450s ]
[ 2013-01-30T21:29:36+08:00 ] /thinkmao/Index.php/List/get_middle | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.000374s ]
[ 2013-01-30T21:29:36+08:00 ] /thinkmao/Index.php/List/get_middle | SQL: SHOW COLUMNS FROM `hd_brand` [ RunTime:0.000391s ]
[ 2013-01-30T21:29:36+08:00 ] /thinkmao/Index.php/List/get_middle | SQL: SHOW COLUMNS FROM `hd_goods_intro` [ RunTime:0.000369s ]
