[ 2013-01-31T10:28:02+08:00 ] /thinkmao/Index.php/Order/put_order | INFO: Tag[ route_check ] --START--
[ 2013-01-31T10:28:02+08:00 ] /thinkmao/Index.php/Order/put_order | INFO: Run CheckRoute Behavior [ RunTime:0.000088s ]
[ 2013-01-31T10:28:02+08:00 ] /thinkmao/Index.php/Order/put_order | INFO: Tag[ route_check ] --END-- [ RunTime:0.000222s ]
[ 2013-01-31T10:28:02+08:00 ] /thinkmao/Index.php/Order/put_order | INFO: Tag[ app_begin ] --START--
[ 2013-01-31T10:28:02+08:00 ] /thinkmao/Index.php/Order/put_order | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000079s ]
[ 2013-01-31T10:28:02+08:00 ] /thinkmao/Index.php/Order/put_order | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000121s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ route_check ] --START--
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run CheckRoute Behavior [ RunTime:0.000152s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000360s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ app_begin ] --START--
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000172s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000254s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | SQL: SHOW COLUMNS FROM `hd_order` [ RunTime:0.000657s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | SQL: SELECT * FROM `hd_order` WHERE ( `uid` = '1' )  [ RunTime:0.000192s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.000974s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | SQL: SHOW COLUMNS FROM `hd_goods_attr` [ RunTime:0.000511s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.000461s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | SQL: SHOW COLUMNS FROM `hd_brand` [ RunTime:0.000468s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | SQL: SHOW COLUMNS FROM `hd_goods_intro` [ RunTime:0.000637s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | SQL: SHOW COLUMNS FROM `hd_goods_list` [ RunTime:0.000440s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | SQL: SELECT goods.sell_num AS sell_num,goods.id AS gid,goods.name AS gname,goods.unit AS unit,goods.number AS number,goods.price AS price,goods.pic AS pic,goods.click AS click,goods.recommend AS recommend,goods.hot AS hot,goods.time AS time,goods.cid AS cid,goods.bid AS bid,goods.tid AS tid,goods.mprice AS mprice,goods_attr.id AS attrid,goods_attr.value AS value,goods_attr.price AS attr_price,type_attr.id AS attr_id,type_attr.name AS attr_name,type_attr.type AS type,brand.name AS brand_name,brand.logo AS logo,brand.hot AS hot_brand,goods_intro.mini AS mini,goods_intro.medium AS medium,goods_intro.max AS max,goods_intro.intro AS intro,goods_intro.service AS service,goods_list.id AS in_id,goods_list.inventory AS inventory,goods_list.attr AS attr_com,goods_list.number AS in_number,goods_list.series AS series,goods_list.price AS in_price FROM hd_goods goods LEFT JOIN hd_goods_attr goods_attr ON goods_attr.gid =goods.id LEFT JOIN hd_type_attr type_attr ON goods_attr.aid = type_attr.id  JOIN hd_brand brand ON goods.bid = brand.id  JOIN hd_goods_intro goods_intro ON goods.id = goods_intro.gid  JOIN hd_goods_list goods_list ON goods.id = goods_list.gid WHERE ( goods.id = '16' )  [ RunTime:0.000877s ]
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 259 common.php 第 146 行.
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 260 common.php 第 146 行.
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 261 common.php 第 146 行.
[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 262 common.php 第 146 行.
