[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Tag[ route_check ] --START--
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Run CheckRoute Behavior [ RunTime:0.000156s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000394s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Tag[ app_begin ] --START--
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000165s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000245s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.001068s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `id` = '15' ) LIMIT 1   [ RunTime:0.000363s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `id` = '14' ) LIMIT 1   [ RunTime:0.001413s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Tag[ view_template ] --START--
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Run LocationTemplate Behavior [ RunTime:0.000218s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000310s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Tag[ view_parse ] --START--
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Run ParseTemplate Behavior [ RunTime:0.003144s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.003279s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Tag[ view_filter ] --START--
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Run ContentReplace Behavior [ RunTime:0.000121s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Run TokenBuild Behavior [ RunTime:0.000057s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000032s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Run ShowRuntime Behavior [ RunTime:0.000064s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000353s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Tag[ view_end ] --START--
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000032s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000056s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Tag[ view_template ] --START--
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Run LocationTemplate Behavior [ RunTime:0.000023s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.003882s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | INFO: Tag[ view_parse ] --START--
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [8] Undefined index: cid TagLibList.class.php 第 367 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [8] Undefined index: cid TagLibList.class.php 第 156 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [8] Undefined variable: str TagLibList.class.php 第 162 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [8] Undefined index: cid TagLibList.class.php 第 156 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [8] Undefined variable: str TagLibList.class.php 第 162 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SHOW COLUMNS FROM `hd_brand` [ RunTime:0.000808s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.000909s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 15 )  [ RunTime:0.000238s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '54' )  [ RunTime:0.000115s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '51' )  [ RunTime:0.000106s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '59' )  [ RunTime:0.000093s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '55' )  [ RunTime:0.000352s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '34' )  [ RunTime:0.000112s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '35' )  [ RunTime:0.000100s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '36' )  [ RunTime:0.000114s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '37' )  [ RunTime:0.000111s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '38' )  [ RunTime:0.000110s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '39' )  [ RunTime:0.000097s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '42' )  [ RunTime:0.000096s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '43' )  [ RunTime:0.000099s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '44' )  [ RunTime:0.000103s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '45' )  [ RunTime:0.000118s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '46' )  [ RunTime:0.000105s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '47' )  [ RunTime:0.000099s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '49' )  [ RunTime:0.000099s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '50' )  [ RunTime:0.000102s ]
