[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | INFO: Tag[ route_check ] --START--
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | INFO: Run CheckRoute Behavior [ RunTime:0.000079s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000199s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | INFO: Tag[ app_begin ] --START--
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000069s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000095s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.000450s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '15' )  [ RunTime:0.000184s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '54' )  [ RunTime:0.000111s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '51' )  [ RunTime:0.000084s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '59' )  [ RunTime:0.000095s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '55' )  [ RunTime:0.000106s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '34' )  [ RunTime:0.000097s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '35' )  [ RunTime:0.000094s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '36' )  [ RunTime:0.000094s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '37' )  [ RunTime:0.000093s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '38' )  [ RunTime:0.000093s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '39' )  [ RunTime:0.000097s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '42' )  [ RunTime:0.000080s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '43' )  [ RunTime:0.000138s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '44' )  [ RunTime:0.000101s ]
