[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | INFO: Tag[ route_check ] --START--
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | INFO: Run CheckRoute Behavior [ RunTime:0.000219s ]
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000431s ]
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | INFO: Tag[ app_begin ] --START--
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000150s ]
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000236s ]
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | SQL: SHOW COLUMNS FROM `hd_goods_list` [ RunTime:0.017244s ]
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | SQL: SELECT `id`,`inventory`,`attr` FROM `hd_goods_list` WHERE ( `gid` = '11' )  [ RunTime:0.000429s ]
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.000632s ]
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | SQL: SHOW COLUMNS FROM `hd_goods_attr` [ RunTime:0.001136s ]
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.000715s ]
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | SQL: SHOW COLUMNS FROM `hd_brand` [ RunTime:0.000715s ]
[ 2013-02-02T19:21:57+08:00 ] /thinkmao/Index.php/Good/index/gid/11 | SQL: SHOW COLUMNS FROM `hd_goods_intro` [ RunTime:0.000659s ]
