[ 2013-01-26T20:20:23+08:00 ] /thinkmao/Index.php | ERR: (ThinkException) Can't connect to local MySQL server through socket '/var/lib/mysql/mysql.sock' (2)
[ 2013-01-26T20:23:20+08:00 ] /thinkmao/Index.php | ERR: (ThinkException) Can't connect to local MySQL server through socket '/var/lib/mysql/mysql.sock' (2)
[ 2013-01-26T20:23:21+08:00 ] /thinkmao/Index.php | ERR: (ThinkException) Can't connect to local MySQL server through socket '/var/lib/mysql/mysql.sock' (2)
[ 2013-01-26T20:23:21+08:00 ] /thinkmao/Index.php | ERR: (ThinkException) Can't connect to local MySQL server through socket '/var/lib/mysql/mysql.sock' (2)
[ 2013-01-26T20:23:21+08:00 ] /thinkmao/Index.php | ERR: (ThinkException) Can't connect to local MySQL server through socket '/var/lib/mysql/mysql.sock' (2)
[ 2013-01-26T20:23:21+08:00 ] /thinkmao/Index.php | ERR: (ThinkException) Can't connect to local MySQL server through socket '/var/lib/mysql/mysql.sock' (2)
[ 2013-01-26T20:23:22+08:00 ] /thinkmao/Index.php | ERR: (ThinkException) Can't connect to local MySQL server through socket '/var/lib/mysql/mysql.sock' (2)
[ 2013-01-26T20:23:32+08:00 ] /thinkmao/Index.php | ERR: (ThinkException) Can't connect to local MySQL server through socket '/var/lib/mysql/mysql.sock' (2)
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | INFO: Tag[ app_begin ] --START--
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000072s ]
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000172s ]
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_template ] --START--
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000039s ]
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000067s ]
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_parse ] --START--
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.045242s ]
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.009466s ]
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.187748s ]
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.187913s ]
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_filter ] --START--
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | INFO: Run ContentReplace Behavior [ RunTime:0.013012s ]
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | INFO: Run TokenBuild Behavior [ RunTime:0.001078s ]
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000884s ]
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001237s ]
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.016566s ]
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_end ] --START--
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001333s ]
[ 2013-01-26T20:26:27+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001435s ]
[ 2013-01-26T20:32:32+08:00 ] /thinkmao/Index.php | INFO: Tag[ app_begin ] --START--
[ 2013-01-26T20:32:32+08:00 ] /thinkmao/Index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000073s ]
[ 2013-01-26T20:32:32+08:00 ] /thinkmao/Index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000192s ]
[ 2013-01-26T20:32:32+08:00 ] /thinkmao/Index.php | INFO: Tag[ view_template ] --START--
